,PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,FamilySize
0,1,0,3,male,22,8,S,1
1,2,1,1,female,38,72,C,1
2,3,1,3,female,26,8,S,0
3,4,1,1,female,35,54,S,1
4,5,0,3,male,35,9,S,0
5,6,0,3,male,45,9,Q,0
6,7,0,1,male,54,52,S,0
7,8,0,3,male,2,22,S,4
8,9,1,3,female,27,12,S,2
9,10,1,2,female,14,31,C,1
10,11,1,3,female,4,17,S,2
11,12,1,1,female,58,27,S,0
12,13,0,3,male,20,9,S,0
13,11,1,3,female,4,17,S,2
14,15,0,3,female,14,8,S,0
15,16,1,2,female,55,16,S,0
16,17,0,3,male,2,30,Q,5
17,18,1,2,male,45,13,So,0
18,19,0,3,female,31,18,S,1
19,20,1,3,female,45,8,C,0
20,21,0,2,male,35,26,S,0
21,22,1,2,malef,34,13,S,0
22,23,1,3,female,15,9,Q,0
23,11,1,3,female,4,17,S,2
24,25,0,3,female,8,22,S,4
25,26,1,3,female,38,32,S,6
26,27,0,3,male,45,8,C,0
27,28,0,1,male,19,263,S,5
28,29,1,3,female,45,8,Q,0
29,30,0,3,male,45,8,S,0
30,31,0,1,male,40,28,C,0
31,32,1,1,female,1,147,C,1
32,33,1,3,female,45,8,Q,0
33,34,0,2,male,66,11,S,0
34,35,0,1,male,28,83,C,1
35,36,0,1,male,42,52,S,1
36,37,1,3,male,45,8,C,0
37,38,0,3,male,21,9,S,0
38,39,0,3,female,18,18,S,2
39,40,1,3,female,14,12,C,1
40,41,0,3,female,40,10,S,1
41,42,0,2,female,27,21,S,1
42,43,0,3,male,45,8,C,0
43,44,1,2,female,3,42,C,3
44,45,1,3,female,19,8,Q,0
45,46,0,3,male,45,9,S,0
46,47,0,3,male,45,16,Q,1
47,48,1,3,female,45,8,Q,0
48,49,0,3,male,45,22,C,2
49,50,0,3,female,18,18,S,1
50,51,0,3,male,7,40,S,5
51,52,0,3,male,21,8,S,0
52,53,1,1,female,49,77,C,1
53,54,1,2,female,29,26,S,1
54,55,0,1,male,65,62,C,1
55,56,1,1,male,45,36,S,0
56,57,1,2,female,21,11,S,0
57,58,0,3,male,285,8,C,0
58,59,1,2,female,5,28,S,3
59,60,0,3,male,11,47,S,7
60,61,0,3,male,22,8,C,0
62,63,0,1,male,45,84,S,1
63,64,0,3,male,4,28,S,5
64,65,0,1,male,45,28,C,0
65,66,1,3,male,45,16,C,2
66,67,1,2,female,29,11,S,0
67,68,0,3,male,19,9,S,0
68,69,1,3,female,17,8,S,6
69,70,0,3,male,26,9,S,2
70,71,0,2,male,32,11,S,0
71,72,0,3,female,16,47,S,7
72,73,0,2,male,21,74,S,0
73,74,0,3,male,26,15,C,1
74,75,1,3,male,32,57,S,0
75,76,0,3,male,25,8,S,0
76,77,0,3,male,45,8,S,0
77,78,0,3,male,45,9,S,0
78,79,1,2,male,83,29,S,2
79,80,1,3,female,30,13,S,0
80,81,0,3,male,22,9,S,0
81,82,1,3,male,29,10,S,0
82,83,1,3,female,45,8,Q,0
83,84,0,1,male,28,48,S,0
84,85,1,2,female,17,11,S,0
85,86,1,3,female,33,16,S,3
86,87,0,3,male,16,35,S,4
87,88,0,3,male,45,9,S,0
88,89,1,1,female,23,263,S,5
89,90,0,3,male,24,9,S,0
90,91,0,3,male,29,9,S,0
91,92,0,3,male,20,8,S,0
