PassengerId	Survived	Pclass	Name	Sex	Age	SibSp	Parch	Ticket	Fare	Cabin	Embarked	ship
1	0	3	"Braund, Mr. Owen Harris"	male	22	1	0	"A/5 21171"	7,25		S	Titanic
2	1	1	"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"	female	38	1	0	"PC 17599"	71,2833	C85	C	Titanic
3	1	3	"Heikkinen, Miss. Laina"	female	26	0	0	"STON/O2. 3101282"	7,925		S	Titanic
4	1	1	"Futrelle, Mrs. Jacques Heath (Lily May Peel)"	female	35	1	0	113803	53,1	C123	S	Titanic
5	0	3	"Allen, Mr. William Henry"	male	35	0	0	373450	8,05		S	Titanic
6	0	3	"Moran, Mr. James"	male		0	0	330877	8,4583		Q	Titanic
7	0	1	"McCarthy, Mr. Timothy J"	male	54	0	0	17463	51,8625	E46	S	Titanic
8	0	3	"Palsson, Master. Gosta Leonard"	male	2	3	1	349909	21,075		S	Titanic
9	1	3	"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)"	female	27	0	2	347742	11,1333		S	Titanic
10	1	2	"Nasser, Mrs. Nicholas (Adele Achem)"	female	14	1	0	237736	30,0708		C	Titanic
11	1	3	"Sandstrom, Miss. Marguerite Ru&5$$"	female	4	1	1	"PP 9549"	16,7	G6	S	Titanic
12	1	1	"Bonnell, Miss. Elizabeth"	female	58	0	0	113783	26,55	C103	S	Titanic
13	0	3	"Saundercock, Mr. William Henry"	male	20	0	0	"A/5. 2151"	8,05		S	Titanic
11	1	3	"Sandstrom, Miss. Marguerite Ru&5$$"	female	4	1	1	"PP 9549"	16,7	G6	S	Titanic
15	0	3	"Vestrom, Miss. Hulda Amanda Adolfina"	female	14	0	0	350406	7,8542		S	Titanic
16	1	2	"Hewlett, Mrs. (Mary D Kingcome)"	female	55	0	0	248706	16		S	Titanic
17	0	3	"Rice, Master. Eugene"	male	2	4	1	382652	29,125		Q	Titanic
18	1	2	"Williams, Mr. Charles Eugene"	male		0	0	244373	13		So	Titanic
19	0	3	"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)"	female	31	1	0	345763	18		S	Titanic
20	1	3	"Masselmani, Mrs. Fatima"	female		0	0	2649	7,225		C	Titanic
21	0	2	"Fynney, Mr. Joseph J"	male	35	0	0	239865	26		S	Titanic
22	1	2	"Beesley, Mr. Lawrence"	malef	34	0	0	248698	13	D56	S	Titanic
23	1	3	"McGowan, Miss. Anna ""Annie"""	female	15	0	0	330923	8,0292		Q	Titanic
11	1	3	"Sandstrom, Miss. Marguerite Ru&5$$"	female	4	1	1	"PP 9549"	16,7	G6	S	Titanic
